yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q7Z479	Q7Z479	Q7Z479_HUMAN	unreviewed	Calpain 7	CAPN7	Homo sapiens (Human)	813
Q7Z4N8	Q7Z4N8	P4HA3_HUMAN	reviewed	Prolyl 4-hydroxylase subunit alpha-3 (4-PH alpha-3) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-3)	P4HA3 UNQ711/PRO1374	Homo sapiens (Human)	544
Q7Z614	Q7Z614	SNX20_HUMAN	reviewed	Sorting nexin-20 (Selectin ligand-interactor cytoplasmic 1) (SLIC-1)	SNX20 SLIC1	Homo sapiens (Human)	316
Q7Z6J4	Q7Z6J4	FGD2_HUMAN	reviewed	FYVE, RhoGEF and PH domain-containing protein 2 (Zinc finger FYVE domain-containing protein 4)	FGD2 ZFYVE4	Homo sapiens (Human)	655
Q7Z6N9	Q7Z6N9	Q7Z6N9_HUMAN	unreviewed	CCDC28A protein	CCDC28A	Homo sapiens (Human)	162
Q7Z6V5	Q7Z6V5	ADAT2_HUMAN	reviewed	tRNA-specific adenosine deaminase 2 (EC 3.5.4.33) (Deaminase domain-containing protein 1) (tRNA-specific adenosine-34 deaminase subunit ADAT2)	ADAT2 DEADC1	Homo sapiens (Human)	191
Q7Z7H8	Q7Z7H8	RM10_HUMAN	reviewed	39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8) (Mitochondrial large ribosomal subunit protein uL10m)	MRPL10 MRPL8 RPML8	Homo sapiens (Human)	261
Q86SE8	Q86SE8	NPM2_HUMAN	reviewed	Nucleoplasmin-2	NPM2	Homo sapiens (Human)	214
Q86U76	Q86U76	Q86U76_HUMAN	unreviewed	Zinc finger protein 3 (A8-51)	ZNF3 tcag7.618	Homo sapiens (Human)	410
Q86UA3	Q86UA3	Q86UA3_HUMAN	unreviewed	Chromosome 12 open reading frame 10 (Chromosome 12 open reading frame 10, isoform CRA_b)	C12orf10 hCG_23362	Homo sapiens (Human)	376
Q86UR1	Q86UR1	NOXA1_HUMAN	reviewed	NADPH oxidase activator 1 (NOX activator 1) (Antigen NY-CO-31) (NCF2-like protein) (P67phox-like factor) (p51-nox)	NOXA1 P51NOX	Homo sapiens (Human)	476
Q86V21	Q86V21	AACS_HUMAN	reviewed	Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	AACS ACSF1	Homo sapiens (Human)	672
Q86V28	Q86V28	Q86V28_HUMAN	unreviewed	AP-1 complex subunit gamma		Homo sapiens (Human)	640
Q13976	Q13976	KGP1_HUMAN	reviewed	cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)	PRKG1 PRKG1B PRKGR1A PRKGR1B	Homo sapiens (Human)	671
Q58DX5	Q58DX5	NADL2_HUMAN	reviewed	Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2 (NAALADase L2)	NAALADL2	Homo sapiens (Human)	795
Q86VL0	Q86VL0	Q86VL0_HUMAN	unreviewed	TCEA2 protein (Transcription elongation factor A (SII), 2, isoform CRA_b) (Transcription elongation factor A protein 2)	TCEA2 hCG_2021465	Homo sapiens (Human)	242
Q86VU5	Q86VU5	CMTD1_HUMAN	reviewed	Catechol O-methyltransferase domain-containing protein 1 (EC 2.1.1.-)	COMTD1 UNQ766/PRO1558	Homo sapiens (Human)	262
Q86WG5	Q86WG5	MTMRD_HUMAN	reviewed	Myotubularin-related protein 13 (Inactive phosphatidylinositol 3-phosphatase 13) (SET-binding factor 2)	SBF2 CMT4B2 KIAA1766 MTMR13	Homo sapiens (Human)	1849
O15427	O15427	MOT4_HUMAN	reviewed	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)	SLC16A3 MCT4	Homo sapiens (Human)	465
Q86TH3	Q86TH3	Q86TH3_HUMAN	unreviewed	Dishevelled, dsh homolog 1 (Drosophila)	DVL1	Homo sapiens (Human)	444
Q86XM0	Q86XM0	CTSRD_HUMAN	reviewed	Cation channel sperm-associated protein subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146)	CATSPERD TMEM146	Homo sapiens (Human)	798
Q86Y22	Q86Y22	CONA1_HUMAN	reviewed	Collagen alpha-1(XXIII) chain	COL23A1	Homo sapiens (Human)	540
Q86Y33	Q86Y33	CD20B_HUMAN	reviewed	Cell division cycle protein 20 homolog B	CDC20B G6VTS76519	Homo sapiens (Human)	519
Q86Y79	Q86Y79	PTH_HUMAN	reviewed	Probable peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	PTRH1 C9orf115	Homo sapiens (Human)	214
Q9H0T7	Q9H0T7	RAB17_HUMAN	reviewed	Ras-related protein Rab-17	RAB17	Homo sapiens (Human)	212
Q9H0X6	Q9H0X6	RN208_HUMAN	reviewed	RING finger protein 208	RNF208	Homo sapiens (Human)	261
Q9H173	Q9H173	SIL1_HUMAN	reviewed	Nucleotide exchange factor SIL1 (BiP-associated protein) (BAP)	SIL1 UNQ545/PRO836	Homo sapiens (Human)	461
Q9H1H9	Q9H1H9	KI13A_HUMAN	reviewed	Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)	KIF13A RBKIN	Homo sapiens (Human)	1805
Q9H1K1	Q9H1K1	ISCU_HUMAN	reviewed	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial (NifU-like N-terminal domain-containing protein) (NifU-like protein)	ISCU NIFUN	Homo sapiens (Human)	167
Q9H1K4	Q9H1K4	GHC2_HUMAN	reviewed	Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18)	SLC25A18 GC2	Homo sapiens (Human)	315
Q53XM7	Q53XM7	Q53XM7_HUMAN	unreviewed	VAMP (Vesicle-associated membrane protein)-associated protein B and C (VAMP (Vesicle-associated membrane protein)-associated protein B and C, isoform CRA_b) (cDNA FLJ13179 fis, clone NT2RP3003918, highly similar to Vesicle-associated membrane protein-associated protein B/C)	VAPB hCG_26693	Homo sapiens (Human)	243
Q9H1X1	Q9H1X1	RSPH9_HUMAN	reviewed	Radial spoke head protein 9 homolog	RSPH9 C6orf206 MRPS18AL1	Homo sapiens (Human)	276
Q8N682	Q8N682	DRAM1_HUMAN	reviewed	DNA damage-regulated autophagy modulator protein 1 (Damage-regulated autophagy modulator)	DRAM1 DRAM	Homo sapiens (Human)	238
Q99598	Q99598	TSNAX_HUMAN	reviewed	Translin-associated protein X (Translin-associated factor X)	TSNAX TRAX	Homo sapiens (Human)	290
Q6IA61	Q6IA61	Q6IA61_HUMAN	unreviewed	C14orf133 protein (Chromosome 14 open reading frame 133, isoform CRA_a) (cDNA FLJ40935 fis, clone UTERU2007253)	C14orf133 hCG_22273	Homo sapiens (Human)	493
Q15056	Q15056	IF4H_HUMAN	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	EIF4H KIAA0038 WBSCR1 WSCR1	Homo sapiens (Human)	248
Q9H3U1	Q9H3U1	UN45A_HUMAN	reviewed	Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)	UNC45A SMAP1	Homo sapiens (Human)	944
Q9H4E5	Q9H4E5	RHOJ_HUMAN	reviewed	Rho-related GTP-binding protein RhoJ (Ras-like protein family member 7B) (Tc10-like GTP-binding protein)	RHOJ ARHJ RASL7B RHOI TCL	Homo sapiens (Human)	214
Q9H4E7	Q9H4E7	DEFI6_HUMAN	reviewed	Differentially expressed in FDCP 6 homolog (DEF-6) (IRF4-binding protein)	DEF6 IBP	Homo sapiens (Human)	631
Q9H4M3	Q9H4M3	FBX44_HUMAN	reviewed	F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3)	FBXO44 FBG3 FBX30 FBX44 FBX6A FBXO6A	Homo sapiens (Human)	255
Q9H568	Q9H568	ACTL8_HUMAN	reviewed	Actin-like protein 8 (Cancer/testis antigen 57) (CT57)	ACTL8	Homo sapiens (Human)	366
Q9H5Z6	Q9H5Z6	F124B_HUMAN	reviewed	Protein FAM124B	FAM124B	Homo sapiens (Human)	455
Q8N684	Q8N684	CPSF7_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 7 (Cleavage and polyadenylation specificity factor 59 kDa subunit) (CPSF 59 kDa subunit) (Cleavage factor Im complex 59 kDa subunit) (CFIm59) (Pre-mRNA cleavage factor Im 59 kDa subunit)	CPSF7	Homo sapiens (Human)	471
Q9H0A9	Q9H0A9	SPC1L_HUMAN	reviewed	Speriolin-like protein (Spermatogenesis and centriole-associated protein 1-like protein)	SPATC1L C21orf56	Homo sapiens (Human)	340
Q9BSU1	Q9BSU1	CP070_HUMAN	reviewed	UPF0183 protein C16orf70	C16orf70 C16orf6	Homo sapiens (Human)	422
Q9H6U6	Q9H6U6	BCAS3_HUMAN	reviewed	Breast carcinoma-amplified sequence 3 (GAOB1)	BCAS3	Homo sapiens (Human)	928
D0VY79	D0VY79	D0VY79_HUMAN	unreviewed	Hypoxia-inducible factor 1, alpha subunit (Basic helix-loop-helix transcription factor), isoform CRA_b (Hypoxia-inducible factor 1, alpha subunit, variant K12NR)	HIF1A hCG_21199	Homo sapiens (Human)	826
Q6PF05	Q6PF05	TT23L_HUMAN	reviewed	Tetratricopeptide repeat protein 23-like	TTC23L	Homo sapiens (Human)	361
Q86WV1	Q86WV1	SKAP1_HUMAN	reviewed	Src kinase-associated phosphoprotein 1 (Src family-associated phosphoprotein 1) (Src kinase-associated phosphoprotein of 55 kDa) (SKAP-55) (pp55)	SKAP1 SCAP1 SKAP55	Homo sapiens (Human)	359
Q9H7C9	Q9H7C9	AAMDC_HUMAN	reviewed	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	AAMDC C11orf67 PTD015	Homo sapiens (Human)	122
Q96MA6	Q96MA6	KAD8_HUMAN	reviewed	Adenylate kinase 8 (AK 8) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 8)	AK8 C9orf98	Homo sapiens (Human)	479
Q96MX0	Q96MX0	CKLF3_HUMAN	reviewed	CKLF-like MARVEL transmembrane domain-containing protein 3 (Chemokine-like factor superfamily member 3)	CMTM3 CKLFSF3	Homo sapiens (Human)	182
Q6UXX9	Q6UXX9	RSPO2_HUMAN	reviewed	R-spondin-2 (Roof plate-specific spondin-2) (hRspo2)	RSPO2 UNQ9384/PRO34209	Homo sapiens (Human)	243
Q96C98	Q96C98	Q96C98_HUMAN	unreviewed	FHL3 protein	FHL3	Homo sapiens (Human)	172
Q96G97	Q96G97	BSCL2_HUMAN	reviewed	Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein)	BSCL2	Homo sapiens (Human)	398
Q6ZVD7	Q6ZVD7	STOX1_HUMAN	reviewed	Storkhead-box protein 1 (Winged-helix domain-containing protein)	STOX1 C10orf24	Homo sapiens (Human)	989
Q9H9J2	Q9H9J2	RM44_HUMAN	reviewed	39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-) (Mitochondrial large ribosomal subunit protein mL44)	MRPL44	Homo sapiens (Human)	332
Q9H9L7	Q9H9L7	AKIR1_HUMAN	reviewed	Akirin-1	AKIRIN1 C1orf108	Homo sapiens (Human)	192
Q9HAB3	Q9HAB3	S52A2_HUMAN	reviewed	Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 1) (PERV-A receptor 1) (Protein GPR172A) (Riboflavin transporter 3) (hRFT3)	SLC52A2 GPR172A PAR1 RFT3	Homo sapiens (Human)	445
Q9HBU6	Q9HBU6	EKI1_HUMAN	reviewed	Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)	ETNK1 EKI1	Homo sapiens (Human)	452
Q9HD64	Q9HD64	XAGE1_HUMAN	reviewed	X antigen family member 1 (XAGE-1) (Cancer/testis antigen 12.1) (CT12.1) (G antigen family D member 2)	XAGE1A GAGED2 XAGE1; XAGE1B; XAGE1C; XAGE1D; XAGE1E	Homo sapiens (Human)	81
Q9NPA3	Q9NPA3	M1IP1_HUMAN	reviewed	Mid1-interacting protein 1 (Gastrulation-specific G12-like protein) (Mid1-interacting G12-like protein) (Protein STRAIT11499) (Spot 14-related protein) (S14R) (Spot 14-R)	MID1IP1 MIG12	Homo sapiens (Human)	183
B2RCZ4	B2RCZ4	B2RCZ4_HUMAN	unreviewed	Protein kinase C (EC 2.7.11.13)		Homo sapiens (Human)	587
Q70EL1	Q70EL1	UBP54_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54)	USP54 C10orf29	Homo sapiens (Human)	1684
Q9NPJ8	Q9NPJ8	NXT2_HUMAN	reviewed	NTF2-related export protein 2 (Protein p15-2)	NXT2 BM-025 DC9	Homo sapiens (Human)	142
Q9NQG1	Q9NQG1	MANBL_HUMAN	reviewed	Protein MANBAL	MANBAL	Homo sapiens (Human)	85
Q9NQG6	Q9NQG6	MID51_HUMAN	reviewed	Mitochondrial dynamics protein MID51 (Mitochondrial dynamics protein of 51 kDa) (Mitochondrial elongation factor 1) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein-like) (SMCR7-like protein)	MIEF1 MID51 SMCR7L	Homo sapiens (Human)	463
Q658N3	Q658N3	Q658N3_HUMAN	unreviewed	Down-regulator of transcription 1, TBP-binding (Negative cofactor 2), isoform CRA_a (cDNA FLJ32979 fis, clone TESTI2017775, highly similar to TATA-BINDING PROTEIN-ASSOCIATED PHOSPHOPROTEIN)	DKFZp666G145 DR1 hCG_31940	Homo sapiens (Human)	176
Q9NRJ3	Q9NRJ3	CCL28_HUMAN	reviewed	C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28)	CCL28 SCYA28	Homo sapiens (Human)	127
Q9NRS6	Q9NRS6	SNX15_HUMAN	reviewed	Sorting nexin-15	SNX15	Homo sapiens (Human)	342
Q9NS26	Q9NS26	SPNXA_HUMAN	reviewed	Sperm protein associated with the nucleus on the X chromosome A (Cancer/testis antigen 11.1) (CT11.1) (Nuclear-associated protein SPAN-Xa) (SPAN-X) (SPANX-A) (SPANX family member A)	SPANXA1 SPANXA; SPANXA2	Homo sapiens (Human)	97
Q7RTY1	Q7RTY1	MOT9_HUMAN	reviewed	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)	SLC16A9 C10orf36 MCT9	Homo sapiens (Human)	509
Q9NSK0	Q9NSK0	KLC4_HUMAN	reviewed	Kinesin light chain 4 (KLC 4) (Kinesin-like protein 8)	KLC4 KNSL8	Homo sapiens (Human)	619
Q9NTX7	Q9NTX7	RN146_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	RNF146	Homo sapiens (Human)	359
Q8TC20	Q8TC20	CAGE1_HUMAN	reviewed	Cancer-associated gene 1 protein (CAGE-1) (Cancer/testis antigen 3) (CT3)	CAGE1 CTAG3	Homo sapiens (Human)	777
Q9NV31	Q9NV31	IMP3_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
Q9NRA8	Q9NRA8	4ET_HUMAN	reviewed	Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1)	EIF4ENIF1	Homo sapiens (Human)	985
Q9NW38	Q9NW38	FANCL_HUMAN	reviewed	E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein) (Fanconi anemia-associated polypeptide of 43 kDa) (FAAP43) (RING-type E3 ubiquitin transferase FANCL)	FANCL PHF9	Homo sapiens (Human)	375
Q9NWL9	Q9NWL9	Q9NWL9_HUMAN	unreviewed	cDNA FLJ20748 fis, clone HEP05772		Homo sapiens (Human)	147
Q9GZV8	Q9GZV8	PRD14_HUMAN	reviewed	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	PRDM14	Homo sapiens (Human)	571
Q9NY87	Q9NY87	SPNXC_HUMAN	reviewed	Sperm protein associated with the nucleus on the X chromosome C (Cancer/testis antigen 11.3) (CT11.3) (Cancer/testis-associated protein CTp11) (Nuclear-associated protein SPAN-Xc) (SPANX-C) (SPANX family member C)	SPANXC	Homo sapiens (Human)	97
Q9NYF3	Q9NYF3	FA53C_HUMAN	reviewed	Protein FAM53C	FAM53C C5orf6	Homo sapiens (Human)	392
Q9NZ32	Q9NZ32	ARP10_HUMAN	reviewed	Actin-related protein 10 (Actin-related protein 11) (hARP11)	ACTR10 ACTR11 ARP11	Homo sapiens (Human)	417
Q6NVH9	Q6NVH9	Q6NVH9_HUMAN	unreviewed	Galectin	LGALS3	Homo sapiens (Human)	250
Q9BXK5	Q9BXK5	B2L13_HUMAN	reviewed	Bcl-2-like protein 13 (Bcl2-L-13) (Bcl-rambo) (Protein Mil1)	BCL2L13 MIL1 CD003	Homo sapiens (Human)	485
Q96IS6	Q96IS6	Q96IS6_HUMAN	unreviewed	HSPA8 protein (Fragment)	HSPA8	Homo sapiens (Human)	587
Q9P0W2	Q9P0W2	HM20B_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (SMARCE1-related protein) (BRCA2-associated factor 35) (HMG box-containing protein 20B) (HMG domain-containing protein 2) (HMG domain-containing protein HMGX2) (Sox-like transcriptional factor) (Structural DNA-binding protein BRAF35)	HMG20B BRAF35 HMGX2 HMGXB2 SMARCE1R	Homo sapiens (Human)	317
Q8N9M1	Q8N9M1	CS047_HUMAN	reviewed	Uncharacterized protein C19orf47	C19orf47	Homo sapiens (Human)	422
Q9P1C9	Q9P1C9	Q9P1C9_HUMAN	unreviewed	KIAA1147 protein (PRO2561)	KIAA1147	Homo sapiens (Human)	43
Q9P291	Q9P291	ARMX1_HUMAN	reviewed	Armadillo repeat-containing X-linked protein 1 (ARM protein lost in epithelial cancers on chromosome X 1) (Protein ALEX1)	ARMCX1 ALEX1 AD032	Homo sapiens (Human)	453
Q86VQ0	Q86VQ0	LCA5_HUMAN	reviewed	Lebercilin (Leber congenital amaurosis 5 protein)	LCA5 C6orf152	Homo sapiens (Human)	697
Q9P127	Q9P127	LUZP4_HUMAN	reviewed	Leucine zipper protein 4 (Cancer/testis antigen 28) (CT-28) (CT28) (Tumor antigen HOM-TES-85)	LUZP4	Homo sapiens (Human)	313
Q96MW5	Q96MW5	COG8_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)	COG8	Homo sapiens (Human)	612
Q08AL9	Q08AL9	Q08AL9_HUMAN	unreviewed	STXBP4 protein	STXBP4	Homo sapiens (Human)	531
Q9P286	Q9P286	PAK5_HUMAN	reviewed	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	PAK5 KIAA1264 PAK7	Homo sapiens (Human)	719
Q9UBT7	Q9UBT7	CTNL1_HUMAN	reviewed	Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)	CTNNAL1	Homo sapiens (Human)	734
Q9UBU3	Q9UBU3	GHRL_HUMAN	reviewed	Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) (Protein M46) [Cleaved into: Ghrelin-27; Ghrelin-28 (Ghrelin); Obestatin]	GHRL MTLRP UNQ524/PRO1066	Homo sapiens (Human)	117
Q96DT7	Q96DT7	ZBT10_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 10 (Zinc finger protein RIN ZF)	ZBTB10 RINZF RINZFC	Homo sapiens (Human)	871
Q9UFG5	Q9UFG5	CS025_HUMAN	reviewed	UPF0449 protein C19orf25	C19orf25	Homo sapiens (Human)	118
Q9UGP5	Q9UGP5	DPOLL_HUMAN	reviewed	DNA polymerase lambda (Pol Lambda) (EC 2.7.7.7) (EC 4.2.99.-) (DNA polymerase beta-2) (Pol beta2) (DNA polymerase kappa)	POLL	Homo sapiens (Human)	575
Q9UGY1	Q9UGY1	NOL12_HUMAN	reviewed	Nucleolar protein 12	NOL12	Homo sapiens (Human)	213
Q9BUY5	Q9BUY5	ZN426_HUMAN	reviewed	Zinc finger protein 426	ZNF426	Homo sapiens (Human)	554
Q9UHQ9	Q9UHQ9	NB5R1_HUMAN	reviewed	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	CYB5R1 NQO3A2 UNQ3049/PRO9865	Homo sapiens (Human)	305
Q53XC2	Q53XC2	Q53XC2_HUMAN	unreviewed	Eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa (Full-length cDNA clone CS0DI071YM04 of Placenta of Homo sapiens (human))	EIF2B2 hCG_22350	Homo sapiens (Human)	351
Q8IYV1	Q8IYV1	Q8IYV1_HUMAN	unreviewed	Nucleosome assembly protein 1-like 3	NAP1L3	Homo sapiens (Human)	506
Q9C019	Q9C019	TRI15_HUMAN	reviewed	Tripartite motif-containing protein 15 (RING finger protein 93) (Zinc finger protein 178) (Zinc finger protein B7)	TRIM15 RNF93 ZNF178 ZNFB7	Homo sapiens (Human)	465
Q9UJX0	Q9UJX0	OSGI1_HUMAN	reviewed	Oxidative stress-induced growth inhibitor 1 (Bone marrow stromal cell-derived growth inhibitor) (BMSC-derived growth inhibitor) (Ovary, kidney and liver protein 38) (huOKL38) (Pregnancy-induced growth inhibitor OKL38)	OSGIN1 BDGI OKL38	Homo sapiens (Human)	477
A8K3Z6	A8K3Z6	A8K3Z6_HUMAN	unreviewed	Anaphase promoting complex subunit 13, isoform CRA_a (cDNA FLJ76550, highly similar to Homo sapiens anaphase promoting complex subunit 13 (ANAPC13), mRNA)	ANAPC13 hCG_1646826	Homo sapiens (Human)	74
Q9UHV8	Q9UHV8	PP13_HUMAN	reviewed	Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13)	LGALS13 PLAC8	Homo sapiens (Human)	139
Q7Z726	Q7Z726	Q7Z726_HUMAN	unreviewed	Importin subunit alpha	KPNA2	Homo sapiens (Human)	529
A1L190	A1L190	SYCE3_HUMAN	reviewed	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	SYCE3 C22orf41 THEG2	Homo sapiens (Human)	88
Q8N619	Q8N619	Q8N619_HUMAN	unreviewed	Cyclin-dependent kinase 5 activator	CDK5R1	Homo sapiens (Human)	307
Q9ULV0	Q9ULV0	MYO5B_HUMAN	reviewed	Unconventional myosin-Vb	MYO5B KIAA1119	Homo sapiens (Human)	1848
Q9H892	Q9H892	TTC12_HUMAN	reviewed	Tetratricopeptide repeat protein 12 (TPR repeat protein 12)	TTC12	Homo sapiens (Human)	705
Q9UM82	Q9UM82	SPAT2_HUMAN	reviewed	Spermatogenesis-associated protein 2	SPATA2 KIAA0757 PD1	Homo sapiens (Human)	520
Q5VZL5	Q5VZL5	ZMYM4_HUMAN	reviewed	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	ZMYM4 KIAA0425 ZNF262	Homo sapiens (Human)	1548
Q9UNZ2	Q9UNZ2	NSF1C_HUMAN	reviewed	NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47)	NSFL1C UBXN2C	Homo sapiens (Human)	370
Q9UDY6	Q9UDY6	TRI10_HUMAN	reviewed	Tripartite motif-containing protein 10 (B30-RING finger protein) (RING finger protein 9)	TRIM10 RFB30 RNF9	Homo sapiens (Human)	481
Q9Y217	Q9Y217	MTMR6_HUMAN	reviewed	Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR6	Homo sapiens (Human)	621
Q9Y263	Q9Y263	PLAP_HUMAN	reviewed	Phospholipase A-2-activating protein (PLA2P) (PLAP)	PLAA PLAP	Homo sapiens (Human)	795
Q9Y295	Q9Y295	DRG1_HUMAN	reviewed	Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3) (Translation factor GTPase DRG1) (TRAFAC GTPase DRG1) (EC 3.6.5.-)	DRG1 NEDD3	Homo sapiens (Human)	367
Q9H0W9	Q9H0W9	CK054_HUMAN	reviewed	Ester hydrolase C11orf54 (EC 3.1.-.-)	C11orf54 LP4947 PTD012	Homo sapiens (Human)	315
P61225	P61225	RAP2B_HUMAN	reviewed	Ras-related protein Rap-2b	RAP2B	Homo sapiens (Human)	183
P62857	P62857	RS28_HUMAN	reviewed	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	Homo sapiens (Human)	69
P62952	P62952	BLCAP_HUMAN	reviewed	Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10)	BLCAP BC10	Homo sapiens (Human)	87
P63211	P63211	GBG1_HUMAN	reviewed	Guanine nucleotide-binding protein G(T) subunit gamma-T1 (Transducin gamma chain)	GNGT1	Homo sapiens (Human)	74
P63218	P63218	GBG5_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GNG5 GNGT5	Homo sapiens (Human)	68
P78508	P78508	KCJ10_HUMAN	reviewed	ATP-sensitive inward rectifier potassium channel 10 (ATP-dependent inwardly rectifying potassium channel Kir4.1) (Inward rectifier K(+) channel Kir1.2) (Potassium channel, inwardly rectifying subfamily J member 10)	KCNJ10	Homo sapiens (Human)	379
P98177	P98177	FOXO4_HUMAN	reviewed	Forkhead box protein O4 (Fork head domain transcription factor AFX1)	FOXO4 AFX AFX1 MLLT7	Homo sapiens (Human)	505
Q00059	Q00059	TFAM_HUMAN	reviewed	Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)	TFAM TCF6 TCF6L2	Homo sapiens (Human)	246
Q01524	Q01524	DEF6_HUMAN	reviewed	Defensin-6 (Defensin, alpha 6)	DEFA6 DEF6	Homo sapiens (Human)	100
Q01543	Q01543	FLI1_HUMAN	reviewed	Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1) (Transcription factor ERGB)	FLI1	Homo sapiens (Human)	452
Q01638	Q01638	ILRL1_HUMAN	reviewed	Interleukin-1 receptor-like 1 (EC 3.2.2.6) (Protein ST2)	IL1RL1 DER4 ST2 T1	Homo sapiens (Human)	556
Q03013	Q03013	GSTM4_HUMAN	reviewed	Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GST-Mu2) (GSTM4-4)	GSTM4	Homo sapiens (Human)	218
Q03923	Q03923	ZNF85_HUMAN	reviewed	Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1)	ZNF85	Homo sapiens (Human)	595
Q05BL0	Q05BL0	Q05BL0_HUMAN	unreviewed	TBRG1 protein	TBRG1	Homo sapiens (Human)	139
Q05CH4	Q05CH4	Q05CH4_HUMAN	unreviewed	SLC15A3 protein	SLC15A3	Homo sapiens (Human)	313
