yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P43005	P43005	EAA3_HUMAN	reviewed	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	SLC1A1 EAAC1 EAAT3	Homo sapiens (Human)	524
Q8WW14-2	Q8WW14	CJ082_HUMAN	reviewed	Uncharacterized protein C10orf82	C10orf82	Homo sapiens (Human)	234
P12319	P12319	FCERA_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	FCER1A FCE1A	Homo sapiens (Human)	257
O43715	O43715	TRIA1_HUMAN	reviewed	TP53-regulated inhibitor of apoptosis 1 (Protein 15E1.1) (WF-1) (p53-inducible cell-survival factor) (p53CSV)	TRIAP1 15E1.1 HSPC132	Homo sapiens (Human)	76
Q9GZY0	Q9GZY0	NXF2_HUMAN	reviewed	Nuclear RNA export factor 2 (Cancer/testis antigen 39) (CT39) (TAP-like protein 2) (TAPL-2)	NXF2 TAPL2; NXF2B	Homo sapiens (Human)	626
Q9H4I2-2	Q9H4I2	ZHX3_HUMAN	reviewed	Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3)	ZHX3 KIAA0395 TIX1	Homo sapiens (Human)	956
Q8WXI4-2	Q8WXI4	ACO11_HUMAN	reviewed	Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	ACOT11 BFIT KIAA0707 THEA	Homo sapiens (Human)	607
Q96HA9-1	Q96HA9	PX11C_HUMAN	reviewed	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	PEX11G PEX11C	Homo sapiens (Human)	241
Q9BRK0-1	Q9BRK0	REEP2_HUMAN	reviewed	Receptor expression-enhancing protein 2	REEP2 C5orf19 SGC32445	Homo sapiens (Human)	252
Q9NRG4-1	Q9NRG4	SMYD2_HUMAN	reviewed	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	Homo sapiens (Human)	433
Q8IVL6-1	Q8IVL6	P3H3_HUMAN	reviewed	Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B)	P3H3 LEPREL2	Homo sapiens (Human)	736
O43451	O43451	MGA_HUMAN	reviewed	Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	MGAM MGA MGAML	Homo sapiens (Human)	1857
Q86XA9-3	Q86XA9	HTR5A_HUMAN	reviewed	HEAT repeat-containing protein 5A	HEATR5A C14orf125 KIAA1316	Homo sapiens (Human)	2040
O60662-1	O60662	KLH41_HUMAN	reviewed	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	KLHL41 KBTBD10 KRP1	Homo sapiens (Human)	606
Q5JUW0-3	Q5JUW0	KRBX4_HUMAN	reviewed	KRAB domain-containing protein 4 (KRAB box domain-containing protein 4)	KRBOX4 ZNF673	Homo sapiens (Human)	171
Q15208	Q15208	STK38_HUMAN	reviewed	Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)	STK38 NDR1	Homo sapiens (Human)	465
Q9H8X9-1	Q9H8X9	ZDH11_HUMAN	reviewed	Probable palmitoyltransferase ZDHHC11 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 11) (DHHC-11) (Zinc finger protein 399)	ZDHHC11 ZNF399	Homo sapiens (Human)	412
Q8WTR7	Q8WTR7	ZN473_HUMAN	reviewed	Zinc finger protein 473 (Zinc finger protein 100 homolog) (Zfp-100)	ZNF473 KIAA1141 ZFP100	Homo sapiens (Human)	871
P0DML3-1	P0DML3	CSH2_HUMAN	reviewed	Chorionic somatomammotropin hormone 2 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)	CSH2	Homo sapiens (Human)	217
Q7Z6M4	Q7Z6M4	MTEF4_HUMAN	reviewed	Transcription termination factor 4, mitochondrial (Mitochondrial transcription termination factor 4) (mTERF domain-containing protein 2) [Cleaved into: mTERF domain-containing protein 2 processed]	MTERF4 MTERFD2 HSPC096	Homo sapiens (Human)	381
Q01629	Q01629	IFM2_HUMAN	reviewed	Interferon-induced transmembrane protein 2 (Dispanin subfamily A member 2c) (DSPA2c) (Interferon-inducible protein 1-8D)	IFITM2	Homo sapiens (Human)	132
Q9BXJ3	Q9BXJ3	C1QT4_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)	C1QTNF4 CTRP4	Homo sapiens (Human)	329
Q6BDI9	Q6BDI9	REP15_HUMAN	reviewed	Rab15 effector protein	REP15	Homo sapiens (Human)	236
Q92796-1	Q92796	DLG3_HUMAN	reviewed	Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR)	DLG3 KIAA1232	Homo sapiens (Human)	817
O75821	O75821	EIF3G_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G EIF3S4	Homo sapiens (Human)	320
Q13451-1	Q13451	FKBP5_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	FKBP5 AIG6 FKBP51	Homo sapiens (Human)	457
Q504T8	Q504T8	MIDN_HUMAN	reviewed	Midnolin (Midbrain nucleolar protein)	MIDN	Homo sapiens (Human)	468
A6NMT0	A6NMT0	DBX1_HUMAN	reviewed	Homeobox protein DBX1 (Developing brain homeobox protein 1)	DBX1	Homo sapiens (Human)	343
A0A0C4DGJ8	A0A0C4DGJ8	A0A0C4DGJ8_HUMAN	unreviewed	Electron transfer flavoprotein regulatory factor 1	ETFRF1	Homo sapiens (Human)	88
Q8N126-1	Q8N126	CADM3_HUMAN	reviewed	Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	Homo sapiens (Human)	398
P13378-1	P13378	HXD8_HUMAN	reviewed	Homeobox protein Hox-D8 (Homeobox protein Hox-4E) (Homeobox protein Hox-5.4)	HOXD8 HOX4E	Homo sapiens (Human)	290
P01570	P01570	IFN14_HUMAN	reviewed	Interferon alpha-14 (IFN-alpha-14) (Interferon alpha-H) (LeIF H) (Interferon lambda-2-H)	IFNA14	Homo sapiens (Human)	189
Q3MUY2	Q3MUY2	PIGY_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y (Phosphatidylinositol-glycan biosynthesis class Y protein) (PIG-Y)	PIGY	Homo sapiens (Human)	71
Q9P209-1	Q9P209	CEP72_HUMAN	reviewed	Centrosomal protein of 72 kDa (Cep72)	CEP72 KIAA1519	Homo sapiens (Human)	647
Q8N129	Q8N129	CNPY4_HUMAN	reviewed	Protein canopy homolog 4	CNPY4 PSEC0237 UNQ1909/PRO4354	Homo sapiens (Human)	248
P07741-1	P07741	APT_HUMAN	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	APRT	Homo sapiens (Human)	180
P20292	P20292	AL5AP_HUMAN	reviewed	Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein)	ALOX5AP FLAP	Homo sapiens (Human)	161
Q96II8-3	Q96II8	LRCH3_HUMAN	reviewed	DISP complex protein LRCH3 (Leucine-rich repeat and calponin homology domain-containing protein 3)	LRCH3	Homo sapiens (Human)	777
O75352-1	O75352	MPU1_HUMAN	reviewed	Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15)	MPDU1	Homo sapiens (Human)	247
Q86WI0-1	Q86WI0	LHPL1_HUMAN	reviewed	LHFPL tetraspan subfamily member 1 protein (Lipoma HMGIC fusion partner-like 1 protein)	LHFPL1 UNQ5824/PRO19643	Homo sapiens (Human)	220
Q6PD74-1	Q6PD74	AAGAB_HUMAN	reviewed	Alpha- and gamma-adaptin-binding protein p34	AAGAB	Homo sapiens (Human)	315
Q9HBJ8	Q9HBJ8	CLTRN_HUMAN	reviewed	Collectrin (Transmembrane protein 27)	CLTRN TMEM27 UNQ679/PRO1312	Homo sapiens (Human)	222
Q14990	Q14990	ODFP1_HUMAN	reviewed	Outer dense fiber protein 1 (Heat shock protein beta-10) (HspB10)	ODF1 HSPB10 ODFP	Homo sapiens (Human)	250
Q96QE2	Q96QE2	MYCT_HUMAN	reviewed	Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)	SLC2A13	Homo sapiens (Human)	648
O00116	O00116	ADAS_HUMAN	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	Homo sapiens (Human)	658
Q8TC36	Q8TC36	SUN5_HUMAN	reviewed	SUN domain-containing protein 5 (Sad1 and UNC84 domain-containing protein 5) (Sperm-associated antigen 4-like protein) (Testis and spermatogenesis-related gene 4 protein)	SUN5 SPAG4L TSARG4	Homo sapiens (Human)	379
Q9NZ81-1	Q9NZ81	PRR13_HUMAN	reviewed	Proline-rich protein 13 (Taxane-resistance protein)	PRR13 TXR1 BM-041	Homo sapiens (Human)	148
Q7Z3K6-2	Q7Z3K6	MIER3_HUMAN	reviewed	Mesoderm induction early response protein 3 (Mi-er3)	MIER3	Homo sapiens (Human)	550
P56539	P56539	CAV3_HUMAN	reviewed	Caveolin-3 (M-caveolin)	CAV3	Homo sapiens (Human)	151
Q9BTE6-2	Q9BTE6	AASD1_HUMAN	reviewed	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1	Homo sapiens (Human)	412
P47710-1	P47710	CASA1_HUMAN	reviewed	Alpha-S1-casein [Cleaved into: Casoxin-D]	CSN1S1 CASA CSN1	Homo sapiens (Human)	185
Q9UL63-1	Q9UL63	MKLN1_HUMAN	reviewed	Muskelin	MKLN1	Homo sapiens (Human)	735
P45381	P45381	ACY2_HUMAN	reviewed	Aspartoacylase (EC 3.5.1.15) (Aminoacylase-2) (ACY-2)	ASPA ACY2 ASP	Homo sapiens (Human)	313
P0C6T2	P0C6T2	OST4_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4	OST4	Homo sapiens (Human)	37
Q4FZB7	Q4FZB7	KMT5B_HUMAN	reviewed	Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361)	KMT5B SUV420H1 CGI-85	Homo sapiens (Human)	885
O43290-1	O43290	SNUT1_HUMAN	reviewed	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	SART1	Homo sapiens (Human)	800
Q96G30	Q96G30	MRAP2_HUMAN	reviewed	Melanocortin-2 receptor accessory protein 2 (MC2R accessory protein 2)	MRAP2 C6orf117	Homo sapiens (Human)	205
Q8NA42	Q8NA42	ZN383_HUMAN	reviewed	Zinc finger protein 383	ZNF383 HSD17	Homo sapiens (Human)	475
Q53S99	Q53S99	CB083_HUMAN	reviewed	Folate transporter-like protein C2orf83	C2orf83	Homo sapiens (Human)	150
O95251-1	O95251	KAT7_HUMAN	reviewed	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)	611
Q5T681	Q5T681	CJ062_HUMAN	reviewed	Uncharacterized protein C10orf62	C10orf62	Homo sapiens (Human)	223
M0QY76	M0QY76	M0QY76_HUMAN	unreviewed	Zinc finger protein 36, C3H type, homolog (Mouse), isoform CRA_a (mRNA decay activator protein ZFP36)	ZFP36 hCG_43352	Homo sapiens (Human)	332
G3V5S9	G3V5S9	G3V5S9_HUMAN	unreviewed	rRNA-processing protein FCF1 homolog	FCF1	Homo sapiens (Human)	183
Q9NZQ8-1	Q9NZQ8	TRPM5_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 5 (Long transient receptor potential channel 5) (LTrpC-5) (LTrpC5) (MLSN1- and TRP-related gene 1 protein)	TRPM5 LTRPC5 MTR1	Homo sapiens (Human)	1165
P50542-3	P50542	PEX5_HUMAN	reviewed	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	PEX5 PXR1	Homo sapiens (Human)	639
P49770	P49770	EI2BB_HUMAN	reviewed	Translation initiation factor eIF-2B subunit beta (S20I15) (S20III15) (eIF-2B GDP-GTP exchange factor subunit beta)	EIF2B2 EIF2BB	Homo sapiens (Human)	351
Q9BRJ6	Q9BRJ6	CG050_HUMAN	reviewed	Uncharacterized protein C7orf50	C7orf50 FP15621	Homo sapiens (Human)	194
Q6TFL4-1	Q6TFL4	KLH24_HUMAN	reviewed	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)	KLHL24 DRE1	Homo sapiens (Human)	600
Q15043-2	Q15043	S39AE_HUMAN	reviewed	Metal cation symporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	SLC39A14 KIAA0062 ZIP14	Homo sapiens (Human)	492
Q6P5T0	Q6P5T0	Q6P5T0_HUMAN	unreviewed	AQP7 protein (Aquaporin 7, isoform CRA_b) (Aquaporin-7)	AQP7 hCG_2011318	Homo sapiens (Human)	216
Q53H54	Q53H54	TYW2_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 2 homolog (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)	TRMT12 TRM12 TYW2	Homo sapiens (Human)	448
Q8IYT1	Q8IYT1	FA71A_HUMAN	reviewed	Protein FAM71A	FAM71A	Homo sapiens (Human)	594
Q86T24	Q86T24	KAISO_HUMAN	reviewed	Transcriptional regulator Kaiso (Zinc finger and BTB domain-containing protein 33)	ZBTB33 KAISO ZNF348	Homo sapiens (Human)	672
Q99572-1	Q99572	P2RX7_HUMAN	reviewed	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2RX7	Homo sapiens (Human)	595
Q14541-2	Q14541	HNF4G_HUMAN	reviewed	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	HNF4G NR2A2	Homo sapiens (Human)	408
Q6I9Y2	Q6I9Y2	THOC7_HUMAN	reviewed	THO complex subunit 7 homolog (Functional spliceosome-associated protein 24) (fSAP24) (Ngg1-interacting factor 3-like protein 1-binding protein 1) (NIF3L1-binding protein 1) (hTREX30)	THOC7 NIF3L1BP1	Homo sapiens (Human)	204
Q8N7K0-2	Q8N7K0	ZN433_HUMAN	reviewed	Zinc finger protein 433	ZNF433	Homo sapiens (Human)	673
P51606-1	P51606	RENBP_HUMAN	reviewed	N-acylglucosamine 2-epimerase (AGE) (EC 5.1.3.8) (GlcNAc 2-epimerase) (N-acetyl-D-glucosamine 2-epimerase) (Renin-binding protein) (RnBP)	RENBP	Homo sapiens (Human)	427
P49789	P49789	FHIT_HUMAN	reviewed	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)	FHIT	Homo sapiens (Human)	147
D6RF30	D6RF30	GOG8K_HUMAN	reviewed	Golgin subfamily A member 8K	GOLGA8K	Homo sapiens (Human)	607
Q7Z713	Q7Z713	ANR37_HUMAN	reviewed	Ankyrin repeat domain-containing protein 37 (Low-density lipoprotein receptor-related protein 2-binding protein) (hLrp2bp)	ANKRD37 LPR2BP	Homo sapiens (Human)	158
Q96PC2	Q96PC2	IP6K3_HUMAN	reviewed	Inositol hexakisphosphate kinase 3 (InsP6 kinase 3) (EC 2.7.4.21) (Inositol hexaphosphate kinase 3)	IP6K3 IHPK3	Homo sapiens (Human)	410
Q8NC74	Q8NC74	RB8NL_HUMAN	reviewed	RBBP8 N-terminal-like protein	RBBP8NL C20orf151	Homo sapiens (Human)	664
P07686	P07686	HEXB_HUMAN	reviewed	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]	HEXB HCC7	Homo sapiens (Human)	556
V9GYD1	V9GYD1	V9GYD1_HUMAN	unreviewed	RAS protein activator-like-3 (Fragment)	RASAL3	Homo sapiens (Human)	228
Q16795	Q16795	NDUA9_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	NDUFA9 NDUFS2L	Homo sapiens (Human)	377
P11532-6	P11532	DMD_HUMAN	reviewed	Dystrophin	DMD	Homo sapiens (Human)	3685
Q14761	Q14761	PTCA_HUMAN	reviewed	Protein tyrosine phosphatase receptor type C-associated protein (PTPRC-associated protein) (CD45-associated protein) (CD45-AP) (Lymphocyte phosphatase-associated phosphoprotein)	PTPRCAP LPAP	Homo sapiens (Human)	206
J3KNQ4	J3KNQ4	J3KNQ4_HUMAN		Deleted.			
P08134	P08134	RHOC_HUMAN	reviewed	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	RHOC ARH9 ARHC	Homo sapiens (Human)	193
Q9UHR6	Q9UHR6	ZNHI2_HUMAN	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	ZNHIT2 C11orf5	Homo sapiens (Human)	403
Q9BQD3	Q9BQD3	KXDL1_HUMAN	reviewed	KxDL motif-containing protein 1	KXD1 C19orf50	Homo sapiens (Human)	176
P13984	P13984	T2FB_HUMAN	reviewed	General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	Homo sapiens (Human)	249
P08243-1	P08243	ASNS_HUMAN	reviewed	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	ASNS TS11	Homo sapiens (Human)	561
P24588	P24588	AKAP5_HUMAN	reviewed	A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)	AKAP5 AKAP79	Homo sapiens (Human)	427
Q8IUR6-1	Q8IUR6	CRERF_HUMAN	reviewed	CREB3 regulatory factor (Luman recruitment factor) (LRF)	CREBRF C5orf41	Homo sapiens (Human)	639
Q06323-1	Q06323	PSME1_HUMAN	reviewed	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	Homo sapiens (Human)	249
Q02575	Q02575	HEN1_HUMAN	reviewed	Helix-loop-helix protein 1 (HEN-1) (Class A basic helix-loop-helix protein 35) (bHLHa35) (Nescient helix loop helix 1) (NSCL-1)	NHLH1 BHLHA35 HEN1	Homo sapiens (Human)	133
A0A087X0R6	A0A087X0R6	A0A087X0R6_HUMAN	unreviewed	Sorting nexin-12	SNX12	Homo sapiens (Human)	172
Q9UHC7-1	Q9UHC7	MKRN1_HUMAN	reviewed	E3 ubiquitin-protein ligase makorin-1 (EC 2.3.2.27) (RING finger protein 61) (RING-type E3 ubiquitin transferase makorin-1)	MKRN1 RNF61	Homo sapiens (Human)	482
P20036	P20036	DPA1_HUMAN	reviewed	HLA class II histocompatibility antigen, DP alpha 1 chain (DP(W3)) (DP(W4)) (HLA-SB alpha chain) (MHC class II DP3-alpha) (MHC class II DPA1)	HLA-DPA1 HLA-DP1A HLASB	Homo sapiens (Human)	260
Q9BT25-2	Q9BT25	HAUS8_HUMAN	reviewed	HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48)	HAUS8 HICE1	Homo sapiens (Human)	410
P09210	P09210	GSTA2_HUMAN	reviewed	Glutathione S-transferase A2 (EC 2.5.1.18) (GST HA subunit 2) (GST class-alpha member 2) (GST-gamma) (GSTA2-2) (GTH2)	GSTA2 GST2	Homo sapiens (Human)	222
Q8TD46	Q8TD46	MO2R1_HUMAN	reviewed	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)	CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015	Homo sapiens (Human)	325
Q9NRN9	Q9NRN9	METL5_HUMAN	reviewed	rRNA N6-adenosine-methyltransferase METTL5 (EC 2.1.1.-) (Methyltransferase-like protein 5)	METTL5 DC3 HSPC133	Homo sapiens (Human)	209
Q5GAN6-1	Q5GAN6	RNS10_HUMAN	reviewed	Inactive ribonuclease-like protein 10	RNASE10	Homo sapiens (Human)	216
Q8N7F7	Q8N7F7	UBL4B_HUMAN	reviewed	Ubiquitin-like protein 4B	UBL4B	Homo sapiens (Human)	174
P53350	P53350	PLK1_HUMAN	reviewed	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	Homo sapiens (Human)	603
P55010	P55010	IF5_HUMAN	reviewed	Eukaryotic translation initiation factor 5 (eIF-5)	EIF5	Homo sapiens (Human)	431
Q96AQ9	Q96AQ9	F131C_HUMAN	reviewed	Protein FAM131C	FAM131C C1orf117	Homo sapiens (Human)	280
Q6P656-1	Q6P656	CF161_HUMAN	reviewed	Cilia- and flagella-associated protein 161	CFAP161 C15orf26	Homo sapiens (Human)	301
P27469	P27469	G0S2_HUMAN	reviewed	G0/G1 switch protein 2 (G0/G1 switch regulatory protein 2) (Putative lymphocyte G0/G1 switch gene)	G0S2	Homo sapiens (Human)	103
O00567	O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
P56589	P56589	PEX3_HUMAN	reviewed	Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal assembly protein PEX3)	PEX3	Homo sapiens (Human)	373
P80217-2	P80217	IN35_HUMAN	reviewed	Interferon-induced 35 kDa protein (IFP 35) (Ifi-35)	IFI35 IFP35	Homo sapiens (Human)	286
P09669	P09669	COX6C_HUMAN	reviewed	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)	COX6C	Homo sapiens (Human)	75
P48539	P48539	PCP4_HUMAN	reviewed	Calmodulin regulator protein PCP4 (Brain-specific polypeptide PEP-19) (Purkinje cell protein 4)	PCP4 PEP19	Homo sapiens (Human)	62
P55957-1	P55957	BID_HUMAN	reviewed	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	Homo sapiens (Human)	195
Q08345-2	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
Q8WTV1-1	Q8WTV1	THAP3_HUMAN	reviewed	THAP domain-containing protein 3	THAP3	Homo sapiens (Human)	239
Q15109-1	Q15109	RAGE_HUMAN	reviewed	Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE	Homo sapiens (Human)	404
Q9NSU2-1	Q9NSU2	TREX1_HUMAN	reviewed	Three-prime repair exonuclease 1 (EC 3.1.11.2) (3'-5' exonuclease TREX1) (Deoxyribonuclease III) (DNase III)	TREX1	Homo sapiens (Human)	314
Q9NUM3-1	Q9NUM3	S39A9_HUMAN	reviewed	Zinc transporter ZIP9 (Solute carrier family 39 member 9) (Zrt- and Irt-like protein 9) (ZIP-9)	SLC39A9 ZIP9 UNQ714/PRO1377	Homo sapiens (Human)	307
P16083	P16083	NQO2_HUMAN	reviewed	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2 NMOR2	Homo sapiens (Human)	231
Q9NWZ3-1	Q9NWZ3	IRAK4_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	IRAK4	Homo sapiens (Human)	460
Q9P2Z0	Q9P2Z0	THA10_HUMAN	reviewed	THAP domain-containing protein 10	THAP10	Homo sapiens (Human)	257
P09172	P09172	DOPO_HUMAN	reviewed	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	Homo sapiens (Human)	617
